,location,year,category,rank,query
182,Global,2003,Earthquake Searches,3,Earthquakes
183,Global,2003,Earthquake Searches,4,Earthquake California
184,Global,2003,Earthquake Searches,5,California Earthquakes
185,Global,2003,Fictional Character Images,1,The Simpsons
186,Global,2003,Fictional Character Images,2,Harry Potter
187,Global,2003,Fictional Character Images,3,Pokémon
188,Global,2003,Fictional Character Images,4,Spiderman
189,Global,2003,Fictional Character Images,5,Winnie the Pooh
190,Global,2003,Male Celebrity Images,1,Eminem
191,Global,2003,Male Celebrity Images,2,David Beckham
192,Global,2003,Male Celebrity Images,3,Orlando Bloom
193,Global,2003,Male Celebrity Images,4,Justin Timberlake
194,Global,2003,Male Celebrity Images,5,50 Cent
195,Global,2003,News Searches,1,Iraq
196,Global,2003,News Searches,2,Laci Peterson
197,Global,2003,News Searches,3,Kobe Bryant
198,Global,2003,News Searches,4,Bertrand Cantat
199,Global,2003,News Searches,5,RIAA
200,Global,2003,Searches,1,Britney Spears
201,Global,2003,Searches,2,Harry Potter
202,Global,2003,Searches,3,Matrix
203,Global,2003,Searches,4,Shakira
204,Global,2003,Searches,5,David Beckham
205,Australia,2003,Popular Movies,1,2 Fast 2 Furious
206,Australia,2003,Popular Movies,2,Lord of the Rings
207,Australia,2003,Popular Movies,3,Finding Nemo
208,Australia,2003,Popular Movies,4,Texas Chainsaw Massacre
209,Australia,2003,Popular Movies,5,Pirates of the Caribbean
210,Australia,2003,Popular Queries,1,Australian Idol
211,Australia,2003,Popular Queries,2,Christina Aguilera
212,Australia,2003,Popular Queries,3,Britney Spears
213,Australia,2003,Popular Queries,4,Qantas
214,Australia,2003,Popular Queries,5,Eminem
215,Australia,2003,Popular Sports-Related Queries,1,Melbourne Cup
216,Australia,2003,Popular Sports-Related Queries,2,Rugby World Cup
217,Australia,2003,Popular Sports-Related Queries,3,Surfing
218,Australia,2003,Popular Sports-Related Queries,4,Jonny Wilkinson
219,Australia,2003,Popular Sports-Related Queries,5,Soccer
220,Canada,2003,Popular Brands,1,Air Canada
221,Canada,2003,Popular Brands,2,Ferrari
222,Canada,2003,Popular Brands,3,Walmart
223,Canada,2003,Popular Brands,4,WestJet
224,Canada,2003,Popular Brands,5,IKEA
225,Canada,2003,Popular Music,1,Britney Spears
226,Canada,2003,Popular Music,2,Christina Aguilera
227,Canada,2003,Popular Music,3,Eminem
228,Canada,2003,Popular Music,4,Jennifer Lopez
229,Canada,2003,Popular Music,5,50 Cent
230,Canada,2003,Popular Queries,1,Finding Nemo
231,Canada,2003,Popular Queries,2,Paris Hilton
232,Canada,2003,Popular Queries,3,InuYasha
233,Canada,2003,Popular Queries,4,Canada 411
234,Canada,2003,Popular Queries,5,Orlando Bloom
235,France,2003,Femmes célèbres,1,Britney Spears
236,France,2003,Femmes célèbres,2,Lorie
237,France,2003,Femmes célèbres,3,JLo
238,France,2003,Femmes célèbres,4,Alyssa Milano
239,France,2003,Femmes célèbres,5,Christina Aguilera
240,France,2003,Hommes célèbres,1,Eminem
241,France,2003,Hommes célèbres,2,Harry Potter
242,France,2003,Hommes célèbres,3,Marilyn Manson
243,France,2003,Hommes célèbres,4,Michael Jackson
244,France,2003,Hommes célèbres,5,Justin Timberlake
245,France,2003,Tendances de l'année,1,SNCF
246,France,2003,Tendances de l'année,2,Fnac
247,France,2003,Tendances de l'année,3,Star Academy
248,France,2003,Tendances de l'année,4,TF1
249,France,2003,Tendances de l'année,5,Matrix
250,Germany,2003,Beliebte Filme,1,Matrix
251,Germany,2003,Beliebte Filme,2,Harry Potter
252,Germany,2003,Beliebte Filme,3,Herr Der Ringe
253,Germany,2003,Beliebte Filme,4,Findet Nemo
254,Germany,2003,Beliebte Filme,5,Kill Bill
255,Germany,2003,Beliebte Suchanfragen,1,Yu-Gi-Oh
256,Germany,2003,Beliebte Suchanfragen,2,Jeanette Biedermann
257,Germany,2003,Beliebte Suchanfragen,3,Paris Hilton
258,Germany,2003,Beliebte Suchanfragen,4,BMW
259,Germany,2003,Beliebte Suchanfragen,5,Stiftung Warentest
260,Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,1,Ryanair
261,Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,2,Deutsche Bahn
262,Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,3,Last Minute
263,Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,4,Lufthansa
264,Germany,2003,Beliebte Suchanfragen aus dem Reisebereich,5,Germanwings
265,Italy,2003,Popular Brands,1,Nokia
266,Italy,2003,Popular Brands,2,Hewlett-Packard
267,Italy,2003,Popular Brands,3,Vodafone
268,Italy,2003,Popular Brands,4,IKEA
269,Italy,2003,Popular Brands,5,Xbox
270,Italy,2003,Popular Italian Singers,1,Eros Ramazzotti
271,Italy,2003,Popular Italian Singers,2,Vasco Rossi
272,Italy,2003,Popular Italian Singers,3,Gigi D'Alessio
273,Italy,2003,Popular Italian Singers,4,Tiziano Ferro
274,Italy,2003,Popular Italian Singers,5,Giorgia
275,Italy,2003,Popular Queries,1,Pagine Bianche
276,Italy,2003,Popular Queries,2,Meteo
277,Italy,2003,Popular Queries,3,Trenitalia
278,Italy,2003,Popular Queries,4,Auto Usate
279,Italy,2003,Popular Queries,5,Musica
280,Netherlands,2003,Popular Men,1,Eminem
281,Netherlands,2003,Popular Men,2,Justin Timberlake
282,Netherlands,2003,Popular Men,3,Robbie Williams
283,Netherlands,2003,Popular Men,4,Orlando Bloom
284,Netherlands,2003,Popular Men,5,Frans Bauer
285,Netherlands,2003,Popular Movies,1,2 Fast 2 Furious
286,Netherlands,2003,Popular Movies,2,Lord of the Rings
287,Netherlands,2003,Popular Movies,3,Matrix
288,Netherlands,2003,Popular Movies,4,Harry Potter
289,Netherlands,2003,Popular Movies,5,Finding Nemo
290,Netherlands,2003,Popular Queries,1,Spongebob
